*IDN? Returned 31 bytes: CMT, C1209, 00000001, 24.3.4/1


           Frequency                 Real                 Imag                 Loss
   8415006500.000000             0.184082            -1.011623            -0.241850
   8460006000.000000             0.128682            -1.022560            -0.262011
   8505005500.000000             0.072162            -1.030420            -0.281531
   8550005000.000000             0.014518            -1.035312            -0.302279
   8595004500.000000            -0.048111            -1.037864            -0.332129
   8640004000.000000            -0.107317            -1.035941            -0.353063
   8685003500.000000            -0.166013            -1.030590            -0.372978
   8730003000.000000            -0.224037            -1.021760            -0.390916
   8775002500.000000            -0.281692            -1.009463            -0.407473
   8820002000.000000            -0.339389            -0.993593            -0.423436
   8865001500.000000            -0.396435            -0.974455            -0.440389
   8910001000.000000            -0.453058            -0.951501            -0.455642
   8955000500.000000            -0.508845            -0.924738            -0.469105
   9000000000.000000            -0.563241            -0.894356            -0.480972

Time taken: 3316246 ms
Press ENTER to close...
